address,restaurant,type,region,food_subtype
"7 Raffles Avenue Ritz Carlton Millenia Singapore The Ritz-Carlton, Millenia Singapore, Singapore 039799 Singapore",Summer Pavilion,"Chinese,Asian,Cantonese",CENTRAL,duck#peking duck#chinese#fine dining#chicken#soup#fish#tea#scallop#clam#chicken soup#bamboo clam#lychee#tim sum#prawn#lobster#ice cream#coconut#porridge#yam#glutinous rice#coconut ice#coconut ice cream#smoked duck#dim sum#michelin#michelin star#beef#bread#white wine#pork#cantonese#cantonese cuisine#kway teow#hor fun#wok hei#char siew#pau#cocktail#fried rice#pig#suckling pig#champagne#fish maw#vegetarian#abalone#mango#iberico#iberico pork#mango pudding#dessert#pancake#seafood#oyster#tofu#pineapple#roasted chicken#fried tofu#truffle#egg#strawberry#chocolate#chocolate cake#dimsum#lobster roll#noodle#desert#juice#lime juice#vegetable#spinach#crispy chicken#fish soup#roasted duck#crepe#chinese cuisine#dumpling#bbq#foie gras#teochew#caviar#wanton#black truffle#michelin starred#steamed rice#prawn dumpling#egg white#red wine#asparagus#seafood soup#korean#congee#coffee#wagyu#wagyu beef#asian#pie#small cake#kai lan#siew mai#western#fried pork#century egg#lemon#umami#hokkien#salad#lobster tail#claypot#sashimi#chicken fried#fried fish#sesame#roast pork#fried prawn#bisque#lobster bisque#roast meat#indian#duck meat#waygu#wine list#hot sour soup#crab meat#bbq pork#pork bun#boston lobster#sichuan#roast duck#japanese#grilled fish#fresh seafood#lamb#fruit#kurobuta#kurobuta pork#red bean#allergy#beef brisket#whisky#crabmeat#cod#cod fish#chicken rice#chicken wing#american#mee sua#roasted pork#szechuan#italian#taiwanese
"21 Keong Saik Road, Singapore 089128 Singapore",Cure,"Irish,European,Vegetarian Friendly",CENTRAL,dessert#lamb#prawn#japanese#scallop#laksa#squid#souffle#vegetarian#michelin#michelin star#taco#michelin starred#chicken#apple#snapper#fine dining#bread#ribeye#asian#foie gras#omakase#soup#noodle#salmon#shrimp#asparagus#noodle soup#breakfast#beef#short rib#beef short#beef short rib#wine list#desert#glass wine#fish#coffee#truffle#chocolate#pumpkin soup#duck#sandwich#cod#bacon#red wine#donut#cocktail#mousse#icecream#chocolate mousse#tartare#beef tartare#steak#burrata#steak tartare#seafood#spanish#western#cheese#burrata cheese#burrito#mackerel#creme brulee#curry#green curry#pork#ice cream#cake#salad#iberico#iberico pork#croquette#tuna#dumpling#sea bass#urchin#sea urchin#oyster#roast duck#duck meat#lemon#martini#wagyu#brioche#pau#sourdough#quail#yoghurt#ricotta
"78 Airport Boulevard 01-235 Jewel Changi Airport, Singapore 819666 Singapore",L'eclair Patisserie,"French,Asian,Singaporean",EAST,coffee#cafe#chocolate#pineapple#pistachio
"7 Raffles Avenue Ritz Carlton Millenia Singapore The Ritz-Carlton, Millenia Singapore, Singapore 039799 Singapore",Colony,"Chinese,Japanese,Indian",CENTRAL,indian#italian#vegetarian#buffet#buffet style#lobster#boston lobster#seafood#seafood buffet#pork#duck#lamb#chocolate#sushi#pork belly#roast duck#vindaloo#cake#tea#coffee#fruit#egg#salted egg#custard bun#japanese#chicken#steak#bread#coconut#mango#pie#tandoori#pita#strawberry#pita bread#tandoori chicken#creme brulee#oyster#korean#chili crab#sashimi#tuna#asian#champagne#cheese#fine dining#mousse#soup#pasta#chinese#dim sum#salmon#satay#western#naan#calamari#kueh#popiah#bisque#kueh pie#laksa#chicken wing#kurobuta#kurobuta pork#beef#rib#beef rib#breakfast#fresh seafood#potato#asparagus#mashed potato#dessert#ice cream#vanilla#vanilla ice cream#cappuccino#chilli crab#cafe#prawn#noodle#roast pork#prawn noodle#rojak#fresh sashimi#prata#international buffet#sushi sashimi#chocolate mousse#champagne brunch#wagyu#peking duck#egg benedict#alaskan crab#small cake#desert#chocolate cake#crab meat#fried rice#fried chicken#lemak#nasi lemak#noodle soup#rice noodle#butter pudding#bread butter pudding#juice#king crab#chicken rice#breakfast buffet#indian vegetarian#meringue#fish#hor fun#bbq#pork rib#bbq pork#peranakan#nyonya#milo#tea coffee#nonya#fruit juice#truffle#truffle oil#chicken tikka#durian#american#naan bread#butter chicken#kopi#tiramisu#kaya toast#cocktail#high tea#curry#indonesian#pizza#vegetable#pizza pasta#roast meat#malaysian#salted egg yolk#alaskan king#alaskan king crab#beer#salad#roast beef#antipasti#lemon#bee hoon#crepe#risotto#foie gras#pandan#grill#tim sum#roasted pork#iced tea#lobster bisque#crabmeat#pork rib soup#white wine#salmon sashimi#red wine#ravioli#char siew#fish maw#churros#cantonese#bacon#teh#teh tarik#roasted duck#shrimp#spaghetti#mantou#buffet breakfast#pad thai#dessert buffet#bottle wine#tofu#vegan#omelette#sashimi sushi#fresh juice#boiled egg#yam#cheesecake#apple#pistachio#fresh fruit#yoghurt#chicken curry#chicken dish#roasted chicken#crispy pork#taiwanese#masala#pig#claypot#tagliatelle#kueh pie tee#pork collar#michelin#wanton#crayfish#fish soup#soup noodle#wine list#siew mai#iberico#pancake#dark chocolate#smoked salmon#buffet selection#mussel#lobster roll#scallop#squid#clam#gelato#red bean#gula melaka#beef steak#fish skin#halal#croissant#fish head#fish head curry#icecream#suckling pig#burger#wagyu beef#beef burger#charcuterie#vietnamese#dimsum#caviar#brunch buffet#prosciutto#blue cheese#tea buffet#congee#braised beef#fresh crab#abalone#tortilla#grilled meat#mee sua#tikka masala#chicken tikka masala#mexican#mutton#cereal prawn#lobster tail#waffle#squid ink#biryani#ink pasta#squid ink pasta#chicken satay#lava cake#stew#fresh oyster#roast chicken#satays#espresso#sesame#garlic naan#lamb rack#dumpling#prawn dumpling#chinese cuisine#prime rib#chocolate fountain#carbonara#porridge#caramel#chendol#glutinous rice#hummus#burrata#crispy duck#fondant#chocolate fondant#pineapple#chicken soup#pork bun#pau#hot pot#snapper#spanish#briyani#beef wellington#cheese platter#apple crumble#mash potato#octopus#sandwich#omakase#parma#parma ham
"22 Orange Grove Road Shangri-La Hotel Garden Wing, Shangri-La Hotel, Singapore 258350 Singapore",Waterfall Ristorante Italiano,"Italian,Mediterranean,European",CENTRAL,buffet#lamb#lamb rack#cake#tiramisu#italian#dessert#pasta#pizza#gelato#antipasti#seafood#stew#pasta pizza#truffle#truffle pasta#mango#chocolate#red wine#chocolate cake#beef#salmon#mousse#smoked salmon#prosciutto#chocolate mousse#linguine#mozzarella#cafe#black truffle#steak#lasagna#octopus#carbonara#carpaccio#veal#ice cream#pizza pasta#risotto#snapper#shrimp#seafood pasta#fish#burrata#champagne#chicken#coffee#tenderloin#chicken dish#beef tenderloin#ravioli#cheese#burrata cheese#vongole#soup#seafood soup#lasagne#panna cotta#bread#seabass#cheesecake#spaghetti#pasta dish#lobster#fresh seafood#ragout#dessert tiramisu#foie gras#tagliatelle#salad#wine list#lobster pasta#aglio olio#squid#squid ink#ink pasta#squid ink pasta#desert#white wine#burger#fine dining#ragu#calamari#limoncello#italian wine#wagyu#wagyu beef#cup coffee#sea bass#porcini#pumpkin soup#caesar salad#pork#penne#iberico#porterhouse#fish soup#vegetarian#blue cheese#bottle wine#buffet selection#egg#breakfast#beer#fruit#mojito#prawn#prawn mee#cuttlefish#duck#roasted chicken#pistachio#tuna#apple#ricotta#apple crumble#martini#spinach#chinese#umami#cake dessert#sirloin#laksa#parma#parma ham#vegan#coconut#pineapple#brunch buffet#caramel#vino#gnocchi#beef steak#vegetable#oyster#lemon#strawberry#souffle#sesame#asian#mediterranean#espresso#crab meat#crab pasta#garlic bread#egg benedict#ceviche#roasted pork#spanish#curry#dim sum#bacon#miso#croquette#glass wine#fresh prawn#fried rice#juice#beef carpaccio#buffet breakfast#western#congee#omelette#bisque#lobster bisque#cheese platter#scallop#champagne brunch#cappuccino#breakfast buffet#fresh fruit
"61 Tras Street, Singapore 079000 Singapore",Chef's Table by Chef Stephan Zoisl,"French,European,Contemporary",CENTRAL,chicken#beef#tea#cake#coffee#rib#salmon#sashimi#wagyu#risotto#wagyu beef#beef rib#vegetarian#foie gras#cheese#vegan#champagne#red wine#fruit#porcini#fine dining#bread#egg#western#omakase#pasta#fish#japanese#lobster#truffle#ice cream#potato#scallop#laksa#cod#banana#vanilla#angus#bisque#cod fish#lobster bisque#vanilla ice cream#angus beef#hokkaido scallop#allergy#dessert#soup#caviar#beef cheek#sesame#seafood#wine list#pork#iberico#strawberry#iberico pork#pork cheek#halibut#michelin#michelin starred#poached egg#octopus#glass wine#lamb#quail#wine service#german#white wine#duck#bottle wine#snapper#salad#chocolate#asian#mango#tenderloin#artichoke#quinoa#indian#burger#avocado#pineapple#smoked salmon#italian#chicken rice#congee#gin tonic#desert#chocolate cake#dark chocolate#lamb rack#stew#rabbit#cafe#rhubarb#oyster#crayfish#sea bass#black truffle#asparagus#buffet#tuna#dessert buffet#meringue#steak#sirloin#chocolate dessert#sirloin steak#cheese platter#sandwich#tartare#tuna tartare#cocktail#whisky
"9 Raffles Boulevard Millenia Walk #01-01 Millenia Walk, Singapore 039596 Singapore",Paulaner Brauhaus Singapore,"German,Brew Pub,Bar",CENTRAL,beer#german#chicken#champagne#veal#pasta#salad#burger#vegetarian#pork#pork knuckle#beef#braised beef#white wine#apple#roast chicken#lager#steak#dessert#soup#mushroom soup#crispy pork#buffet#cold beer#craft beer#potato#mashed potato#tenderloin#bread#duck#salmon#curry#fish#glass wine#stew#juice#fruit#fruit juice#ice tea#chinese#ice cream#asian#desert#vanilla#vanilla ice cream#grilled pork#calamari#lamb#lemon#pizza#roasted chicken#cheese#mash potato#brunch buffet#cocktail#cake#asparagus#coffee#shrimp#chicken rice#chili crab#prawn#pig#egg#buffet style#grilled fish#roast pork#grilled chicken#cafe#western#roasted pork#spanish#fried egg#beer wine#pancake#curry sauce#lamb shank#indian#dumpling#fried pork
"10 Coleman Street Grand Park City Hall Level 3, Grand Park City Hall, Singapore 179809 Singapore",Tablescape Restaurant & Bar,"European,Grill,Contemporary",CENTRAL,bread#egg#brioche#dessert#potato#cake#chocolate#chocolate cake#pork#iberico#iberico pork#lamb#salmon#wagyu#pork chop#mashed potato#lamb rack#halibut#ribeye#steak#fish#foie gras#tiramisu#cod#cod fish#soup#pasta#duck#pumpkin soup#souffle#michelin#michelin star#squid#squid ink#ink pasta#squid ink pasta#seafood#fine dining#cocktail#beef#truffle#chicken#risotto#ice cream#mushroom soup#vanilla#vanilla ice cream#lamb chop#taiwanese#salad#wine list#caesar salad#angus#spaghetti#barramundi#desert#creme brulee#chicken rice#scallop#grill#sea bass#fruit#cheese#breakfast#chinese#western#mousse#chocolate mousse#lobster#bisque#lobster bisque#buffet#breakfast buffet#gnocchi#seafood pasta#coffee#wagyu beef#beef short#vegetarian#asparagus#prosciutto#pancake#cappuccino#cheesecake#hot chocolate#short rib#sirloin#spinach#korean#fried chicken#red wine#ham#onion soup#champagne#lychee
"74 Neil Road, Singapore 088839 Singapore",Jekyll & Hyde,"Bar,Fusion,",CENTRAL,burger#cocktail#breakfast#lychee#martini#sangria#espresso#truffle#truffle fries#sesame#dumpling#apple#tea#kopi#mojito#egg#juice#coconut#lemon#pandan#lime juice#egg white#beer#vanilla#dessert#strawberry#scallop#whisky#gin tonic
"38 Craig Road, Singapore 089676 Singapore",Ma Cuisine,"French,European,Wine Bar",CENTRAL,wine list#wine service#cheese#desert#dessert#michelin#vegetable#bone marrow#chicken#carbonara#cuttlefish#lamb#foie gras#caviar#michelin star#chorizo#prawn#egg#shrimp#red wine#poached egg#champagne#beer#scallop#beef#duck#salmon#ravioli#angus#roast duck#michelin starred#lamb shank#lemon#steak#pasta#wagyu#lobster#fine dining#bottle wine#cake#chocolate#glass wine#chocolate cake#abalone#bread#blue cheese#vegetarian#rib#stew#rib eye#rib eye steak#wagyu beef#asparagus#confit#strawberry#veal#spanish#soup#salad#truffle#artichoke#frog#cheese platter
"Level 24, Hilton Singapore 581 Orchard Road, Singapore 238883 Singapore",il Cielo,"Italian,European,Vegetarian Friendly",CENTRAL,soup#seafood#italian#japanese#wagyu#sirloin#seafood soup#dessert#steak#pasta#cheese#lobster#risotto#lemon#burrata#strawberry#yoghurt#bruschetta#lobster pasta#wagyu steak#meringue#truffle#spaghetti#black truffle#duck#foie gras#tagliatelle#urchin#sea urchin#tiramisu#prawn#squid#cake#pork#fine dining#beef#carpaccio#beef short#small cake#rib#short rib#fish#salad#wagyu beef#tartare#abalone#crabmeat#ricotta#omakase#ravioli#michelin#michelin star#cod#fresh seafood#chicken#noodle#mousse#juice#tenderloin#miso#linguine#pasta dish#angus#aglio olio#angus beef#beef tenderloin#pumpkin soup#dessert tiramisu#clam#caviar#ebi#unagi#cod fish#eel#umami#desert#waygu#scallop#beef short rib#bread#salmon#confit#gelato#pork collar#white truffle#lamb#mushroom soup#duck confit#sesame#mozzarella#chocolate#mango#waffle#prosciutto#chocolate dessert#crab meat#fondant#chocolate fondant#mackerel#vegetarian#fruit#calamari#champagne#stew#carbonara#white wine#vongole#fish skin#caramel#grilled squid#parma#parma ham#squid ink#pizza#cocktail#beer#coffee#beef carpaccio#asparagus#lamb shank#snapper#asian#western#cheesecake#bottle wine#red wine#artichoke#bone marrow#spanish#angel hair pasta#lobster tail#cake dessert#ragout#seafood pasta#lamb rack#ice cream#sashimi#octopus#iberico#iberico pork#smoked salmon#vegetable#quail#sea bass#glass wine#veal#potato#mediterranean#frog#cheese platter#espresso#wine list#icecream#burrata cheese#tuna#creme brulee#ink pasta#squid ink pasta#egg#american#poached egg#gin tonic#lemonade
"165 Tanjong Pagar Road #01-00 Amara Singapore, Singapore 088539 Singapore",Bar-Roque Grill,"French,Steakhouse,Bar",CENTRAL,beef#lamb#wagyu#foie gras#wagyu beef#duck#confit#duck confit#grill#asian#ravioli#beef wellington#dessert#bread#potato#apple#gratin#sourdough#tartare#pork#vegetable#seafood#lobster#chocolate#risotto#ribeye#sea bass#bisque#lamb shank#lobster bisque#ceviche#fondant#chocolate fondant#chicken#steak#wine list#charcuterie#pasta#truffle#truffle pasta#fish#steakhouse#escargot#artichoke#ice cream#bacon#red wine#spinach#mashed potato#pork chop#cheese#grilled chicken#blue cheese#black truffle#roast beef#yorkshire pudding#octopus#pistachio#steak house#salad#burrata#tenderloin#cake#hamburger#vanilla#snapper#vanilla ice cream#coffee#american#cheese platter#bone marrow#angus#ribeye steak#prawn#roast chicken#mash potato#champagne#wagyu steak#breakfast#chinese#roasted chicken#cafe#squid#squid ink#goat cheese#alaskan crab#beer#rib eye#rib eye steak#soup#pizza#fine dining#beef cheek#carpaccio#mousse#prosciutto#chocolate mousse#beef tartare#pineapple#glass wine#fruit#crab meat#creme brulee#michelin#tuna#salmon#grilled octopus#smoked salmon#stew#beef rib#desert#onion soup#beef steak#steak tartare#banana#caramel#rabbit#truffle fries#calamari#cider#indian#teh#mutton#mediterranean#lager#lemon#grilled meat#wine service#braised beef#truffle oil#apple crumble#cod#avocado#scallop#bbq#pie#oxtail#clam#western#iberico#iberico pork#spanish#ragu#kurobuta#kurobuta pork#sirloin#brioche#vegetarian#frog#prime rib#pork belly#seabass
"1A Short Street #01-03 Campus 1a, Singapore 188210 Singapore",Zazz Pizza,"Quick Bites,Italian,Pizza",CENTRAL,pizza#seafood#pasta#salad#egg#truffle#ham#burrata#limoncello#prawn#scallop#parma#italian#parma ham#cake#squid#risotto#calamari#squid ink#aglio olio#crab cake#wok hei#cheese#chicken#tea#lemon#iced tea#ink pasta#squid ink pasta#pineapple#beer#vegetarian#cold beer#beef#bruschetta#bread#truffle fries#garlic bread#ice cream#margarita#mozzarella#soft shell crab#burrata cheese#crab pasta#burger#spaghetti#chili crab#strawberry#chilli crab#white wine#halal#ribeye#rib eye#penne#chocolate#tiramisu#carbonara#iberico#ravioli#lasagna#dessert#korean#pistachio#gelato#crab meat#angel hair pasta#beer wine#chicken wing#fried chicken#lychee#mousse#chocolate mousse#grill#meatball#yam#artichoke
